Unnamed: 0,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,contagiousness,capacity_pct,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious
0,91766351,sett24_3,0,5,3000,3000,0.25,0.5,4,5,0.85,0.4,600,0.02,1.0,367.6666666666667,400.0,60.333333333333336,104.869230737884,282.842712474619,46.13265895460852
1,95424248,sett24_3,1,6,4000,4000,0.35,0.2,5,6,0.4,0.15,800,0.44,1.0,725.0,533.3333333333334,88.33333333333333,5.354126134736337,377.12361663282536,62.46243315430128
2,70437291,sett24_3,2,23,1000,500,0.8,0.25,10,9,0.25,0.4,200,0.38,0.5,497.5833333333333,163.91666666666666,89.91666666666667,5.3300771309824615,290.6164305785587,160.50672796559718
3,75240145,sett24_3,3,4,3500,3500,0.5,0.5,3,0,0.8,0.9,700,0.02,1.0,1537.6666666666667,466.6666666666667,209.0,77.07283712321885,329.98316455372213,148.5552646884878
4,84720244,sett24_3,4,13,2000,1000,0.7,0.3,5,9,0.9,0.7,400,0.14,0.5,954.8571428571428,98.71428571428572,53.57142857142857,45.15822523220382,155.4097940338145,83.20861415375067
5,45764780,sett24_3,5,9,500,250,0.2,0.6,8,3,0.2,0.35,100,0.48,0.5,17.2,80.0,4.8,0.3999999999999999,40.0,2.4
6,69216601,sett24_3,6,10,500,250,0.5,0.25,9,4,0.25,0.1,100,0.42,0.5,136.2,80.0,18.8,22.683915006012523,40.0,23.059921942625913
7,26403063,sett24_3,7,4,2500,2500,0.2,0.95,1,1,0.5,0.65,500,0.36,1.0,94.0,0.0,0.0,53.22280213091628,0.0,0.0
8,27370185,sett24_3,8,7,4000,4000,0.3,0.75,6,9,0.95,0.95,800,0.36,1.0,964.0,600.0,148.25,58.008620049092706,346.41016151377545,86.00109010937012
9,38572578,sett24_3,9,6,1000,500,0.9,0.95,5,9,0.25,0.5,200,0.36,0.5,500.0,133.33333333333334,91.66666666666669,0.0,94.28090415820634,65.18861522962085
10,56141686,sett24_3,10,7,500,500,0.85,0.25,6,10,0.95,0.1,100,0.1,1.0,418.0,75.0,45.75,39.37638886439436,43.30127018922193,45.7622934302904
11,8155160,sett24_3,11,7,4000,2000,0.15,0.25,6,2,0.8,0.3,800,0.14,0.5,13.25,600.0,2.5,9.522998477370455,346.41016151377545,2.8722813232690143
12,9447157,sett24_3,12,11,500,500,0.35,0.55,10,0,0.5,0.1,100,0.32,1.0,67.66666666666667,83.33333333333333,1.3333333333333333,2.748737083745107,37.26779962499649,1.8856180831641267
13,92117210,sett24_3,13,10,1000,1000,0.95,0.5,9,10,0.3,0.2,200,0.36,1.0,1000.0,160.0,160.0,0.0,80.0,80.0
14,27822541,sett24_3,14,9,2000,2000,0.6,0.6,8,7,0.65,0.05,400,0.48,1.0,1107.8,320.0,67.4,150.6803238647966,160.0,134.8
15,12509757,sett24_3,15,15,1000,500,0.8,0.2,10,4,0.1,0.5,200,0.32,0.5,500.0,505.0,287.0,0.0,440.3819365051205,249.99749998749988
16,50575553,sett24_3,16,4,1500,750,0.05,0.05,2,4,0.15,0.3,300,0.38,0.5,0.0,109.33333333333331,0.0,0.0,144.83400460143636,0.0
