Unnamed: 0,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,contagiousness,capacity_pct,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious
0,51957210,sett24_2,0,9,3000,3000,0.9,0.15,8,5,0.35,0.1,600,0.22,1.0,2759.4,480.0,240.0,293.8575164939635,240.0,293.9387691339814
1,99278403,sett24_2,1,10,3500,3500,0.85,0.4,5,6,0.3,0.45,700,0.24,1.0,2961.8,660.6,534.0,107.79127979572374,1071.4914092049455,859.2445519175551
2,7731548,sett24_2,2,4,3500,1750,0.5,0.1,2,2,0.2,0.6,700,0.46,0.5,455.0,1188.0,19.666666666666668,286.18292518364314,887.3210617733959,14.884742374510738
3,8364895,sett24_2,3,4,1000,500,0.85,0.5,3,4,0.8,0.15,200,0.16,0.5,500.0,133.33333333333334,64.66666666666667,0.0,94.28090415820634,91.45247703346011
4,96842145,sett24_2,4,4,2500,1250,0.25,0.8,3,2,0.6,0.65,500,0.14,0.5,102.0,333.3333333333333,18.333333333333332,32.873494895837695,235.70226039551585,14.337208778404378
5,62838936,sett24_2,5,4,1500,1500,0.85,0.75,2,1,0.5,0.65,300,0.24,1.0,1257.6666666666667,100.0,85.33333333333333,9.977753031397176,141.4213562373095,120.67955732250412
6,43532279,sett24_2,6,9,2000,2000,0.65,0.7,8,0,0.85,0.95,400,0.2,1.0,1222.8,320.0,195.8,29.98266165636399,160.0,97.95795016230178
7,97359309,sett24_2,7,10,500,250,0.95,0.75,9,1,0.6,0.65,100,0.18,0.5,250.0,80.0,60.2,0.0,40.0,30.367087446773688
8,26106066,sett24_2,8,6,2000,1000,0.7,0.45,5,10,0.05,0.5,400,0.1,0.5,911.0,266.6666666666667,127.66666666666669,46.10856753359401,188.56180831641268,90.60659774848382
9,17912664,sett24_2,9,18,2500,2500,0.3,0.35,10,1,0.95,0.7,500,0.1,1.0,359.3333333333333,777.2222222222222,135.11111111111111,75.03184509111966,745.7525323498224,147.89519145097648
10,97001278,sett24_2,10,7,500,250,0.8,0.4,4,5,0.8,0.55,100,0.28,0.5,250.0,231.0,154.5,0.0,203.3789566302276,143.241928219359
11,14487924,sett24_2,11,7,2500,1250,0.5,0.5,6,2,0.1,0.15,500,0.5,0.5,731.5,375.0,115.25,221.0322374677504,216.50635094610965,116.99866452229271
12,25818086,sett24_2,12,20,1500,1500,0.85,0.05,10,10,0.25,0.1,300,0.42,1.0,660.0,1080.0,240.0,549.9090833947008,360.0,480.0
13,98037472,sett24_2,13,4,3000,3000,0.1,0.2,1,6,0.25,0.95,600,0.14,1.0,24.0,0.0,0.0,13.92838827718412,0.0,0.0
14,75977375,sett24_2,14,16,1000,1000,0.75,0.05,6,6,0.6,0.4,200,0.42,1.0,742.25,33.75,26.625,18.287632432876595,54.121968737288185,46.16258631186082
15,81676186,sett24_2,15,4,3500,3500,0.2,0.9,2,5,0.85,0.3,700,0.34,1.0,338.3333333333333,233.33333333333337,34.0,120.2506641238302,329.98316455372213,48.08326112068523
16,2459332,sett24_2,16,7,500,500,0.3,0.75,6,6,0.45,0.6,100,0.2,1.0,36.75,75.0,6.5,0.82915619758885,43.30127018922193,3.774917217635375
17,36107743,sett24_2,17,4,1000,500,0.55,0.85,2,3,0.45,0.25,200,0.32,0.5,278.0,66.66666666666667,40.666666666666664,21.400934559032695,94.28090415820634,57.51135153650587
18,79242554,sett24_2,18,15,4000,2000,0.55,0.4,4,7,0.65,0.45,800,0.36,0.5,894.5,106.125,34.125,23.56374333589636,119.87539103168756,42.39527538535397
