Unnamed: 0,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,contagiousness,capacity_pct,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious
3079,43155623,sett24_4,3079,200,4000,4000,0.7,0.3,5,3,0.15,0.8,800,0.04,1.0,2921.87,2480.57,2019.24,56.849037810678915,77.48590258879354,71.07758015014298
3080,47826253,sett24_4,3080,4,1000,500,0.45,0.85,1,3,0.5,0.1,200,0.44,0.5,131.0,0.0,0.0,24.711670657134185,0.0,0.0
3081,35338769,sett24_4,3081,5,1000,500,0.15,0.85,4,0,0.4,0.5,200,0.2,0.5,1.3333333333333333,133.33333333333334,0.0,1.247219128924647,94.28090415820634,0.0
3082,36267315,sett24_4,3082,20,3000,3000,0.75,0.05,7,6,0.15,0.75,600,0.16,1.0,2336.2,52.2,44.4,97.20473239508456,64.19781927760475,56.08422238027376
3083,40720077,sett24_4,3083,4,3000,1500,0.4,0.25,2,5,0.45,0.3,600,0.24,0.5,276.3333333333333,849.3333333333334,32.0,70.24401912064985,648.601229998491,24.34474618201362
3084,69675368,sett24_4,3084,10,1500,750,0.75,0.95,9,0,0.4,0.9,300,0.12,0.5,640.4,240.0,105.2,29.830186053727527,120.0,53.37190272043896
3085,66092765,sett24_4,3085,9,2000,1000,0.05,0.6,8,2,0.9,0.35,400,0.2,0.5,0.0,320.0,0.0,0.0,160.0,0.0
3086,9367272,sett24_4,3086,5,3000,3000,0.25,0.75,4,8,0.4,0.2,600,0.14,1.0,191.0,400.0,25.666666666666668,13.36662510384228,282.842712474619,18.51725921644153
3087,82252518,sett24_4,3087,4,3000,1500,0.9,0.7,2,5,0.6,0.45,600,0.38,0.5,1500.0,200.0,167.0,0.0,282.842712474619,236.17366491630688
3088,46847851,sett24_4,3088,6,500,250,0.95,0.95,5,0,0.25,0.05,100,0.28,0.5,250.0,66.66666666666667,33.333333333333336,0.0,47.14045207910317,47.14045207910317
3089,33339689,sett24_4,3089,15,1500,1500,0.9,0.2,9,1,0.55,0.25,300,0.4,1.0,1200.0,1125.0,825.0,519.6152422706632,443.7059837324712,491.80788932265006
3090,54094474,sett24_4,3090,8,3000,1500,0.15,0.8,7,1,0.2,0.25,600,0.34,0.5,25.0,450.0,3.75,0.0,259.8076211353316,2.165063509461097
3091,57933942,sett24_4,3091,8,2000,2000,0.5,0.65,7,0,0.85,0.5,400,0.16,1.0,780.5,300.0,119.5,26.253571185650152,173.20508075688772,69.41361537911709
