Unnamed: 0,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,contagiousness,capacity_pct,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious
0,65510305,sett24_7,0,4,3000,3000,0.25,0.6,1,7,0.75,0.45,600,0.38,1.0,300.0,0.0,0.0,123.33963947842018,0.0,0.0
1,71187608,sett24_7,1,11,2000,2000,0.35,0.55,10,2,0.1,0.15,400,0.22,1.0,718.0,333.3333333333333,23.0,20.704266871026046,149.07119849998597,23.137271518771037
2,88846138,sett24_7,2,8,1000,500,0.3,0.9,7,2,0.65,0.25,200,0.24,0.5,31.0,150.0,8.5,13.095800853708797,86.60254037844386,5.678908345800274
3,68193598,sett24_7,3,4,3000,1500,0.6,0.45,1,9,0.35,0.75,600,0.02,0.5,779.3333333333334,0.0,0.0,345.10900049436873,0.0,0.0
4,22753209,sett24_7,4,10,1500,1500,0.2,0.95,9,1,0.65,0.15,300,0.12,1.0,3.8,240.0,0.8,1.833030277982336,120.0,0.7483314773547883
5,10208965,sett24_7,5,4,2000,1000,0.2,0.85,3,6,0.4,0.2,400,0.14,0.5,50.333333333333336,266.6666666666667,15.0,7.408703590297623,188.56180831641268,11.224972160321824
6,64319941,sett24_7,6,10,500,500,0.75,0.5,9,8,0.15,0.85,100,0.42,1.0,385.0,80.0,61.8,20.639767440550298,40.0,31.3521929057602
7,61102778,sett24_7,7,4,500,250,0.65,0.7,3,4,0.45,0.15,100,0.38,0.5,171.33333333333334,66.66666666666667,28.0,48.55466564147626,47.14045207910317,39.59797974644666
8,68026719,sett24_7,8,4,4000,2000,0.45,0.3,2,1,0.9,0.6,800,0.04,0.5,1513.6666666666667,266.6666666666667,115.0,116.4397793806834,377.12361663282536,162.63455967290594
9,9367779,sett24_7,9,12,1000,1000,0.05,0.2,10,0,0.85,0.9,200,0.44,1.0,0.0,140.0,0.0,0.0,96.19424792228138,0.0
10,87368293,sett24_7,10,5,2500,1250,0.6,0.85,4,0,0.95,0.75,500,0.32,0.5,1250.0,333.3333333333333,177.33333333333334,0.0,235.70226039551585,125.60873996484302
11,86747703,sett24_7,11,7,2000,2000,0.8,0.55,6,1,0.5,0.5,400,0.32,1.0,1548.25,300.0,231.5,11.321991874224253,173.20508075688772,133.76939111769926
12,36796120,sett24_7,12,8,1500,750,0.85,0.2,3,0,0.6,0.65,300,0.32,0.5,740.0,47.75,30.75,17.320508075688775,65.62154752823191,43.9054381597542
13,33178334,sett24_7,13,13,2500,2500,0.2,0.2,9,8,0.5,0.55,500,0.44,1.0,15.571428571428571,475.42857142857144,8.428571428571429,0.7284313590846835,427.2299003523771,6.275966467568228
14,55138420,sett24_7,14,8,3500,1750,0.7,0.6,7,4,0.7,0.85,700,0.3,0.5,1330.0,525.0,200.25,26.94438717061496,303.10889132455355,115.77213611227876
15,46735402,sett24_7,15,4,1500,750,0.75,0.8,1,4,0.3,0.35,300,0.08,0.5,591.6666666666666,0.0,0.0,149.0465997226669,0.0,0.0
16,21272137,sett24_7,16,4,500,250,0.9,0.8,3,5,0.4,0.1,100,0.24,0.5,250.0,66.66666666666667,33.333333333333336,0.0,47.14045207910317,47.14045207910317
17,43298737,sett24_7,17,9,4000,2000,0.2,0.4,7,3,0.15,0.95,800,0.06,0.5,69.0,880.8,15.0,0.0,538.4720605565344,9.033271832508971
18,82693888,sett24_7,18,11,3000,3000,0.75,0.65,10,9,0.1,0.4,600,0.5,1.0,2356.8333333333335,500.0,472.3333333333333,326.69068789231744,223.60679774997897,211.51805806807343
19,75091420,sett24_7,19,7,2000,2000,0.2,0.05,6,9,0.5,0.1,400,0.42,1.0,35.75,300.0,2.5,3.2691742076555053,173.20508075688772,2.5
20,45645264,sett24_7,20,4,1000,1000,0.75,0.65,1,5,0.95,0.9,200,0.42,1.0,742.0,0.0,0.0,15.748015748023622,0.0,0.0
21,333060,sett24_7,21,33,2000,1000,0.6,0.25,8,8,0.9,0.3,400,0.28,0.5,621.4117647058823,132.11764705882354,40.1764705882353,51.89929028589824,95.26303051393528,39.44949905611662
22,27128360,sett24_7,22,5,1500,750,0.35,0.05,3,9,0.35,0.9,300,0.36,0.5,110.33333333333331,375.3333333333333,24.333333333333332,11.32352516764202,292.29703309400105,18.00617178142601
23,97608308,sett24_7,23,4,1500,750,0.9,0.9,1,4,0.85,0.65,300,0.24,0.5,750.0,0.0,0.0,0.0,0.0,0.0
